Company,Phone,Website,Areas Served,Notes
Cort's Pool Service,(951) 775-2678,https://cortspools.com/,"Menifee, Temecula, Murrieta, Lake Elsinore, Canyon Lake, Wildomar",15+ years experience
Menifee Pool Cleaners,(951) 477-6003,https://www.menifeepoolcleaners.com/,"Temecula, Murrieta, Menifee, Perris, Wildomar",
Fabio's Pool & Spa,(951) 234-2866,https://www.fabiospoolservice.com/,"Temecula, Murrieta",
951 Pool Cleaning,(951) 330-7635,https://951poolcleaning.com/,Temecula,Weekly service and leak detection
Canyon Pool Service,(951) 768-2972,https://canyonpoolservice.com/,"Murrieta, Temecula, Menifee",20+ years in business
Aqua System Pools LLC,(951) 221-0526,https://aquasystempoolsllc.com/,"Temecula, Murrieta, Menifee",Residential and commercial
Advantage Spa & Pool,(951) 461-6911,https://advantagespaandpool.com/,"Murrieta, Temecula, Menifee",Pools and hot tubs
Aloha Clean Pool & Spa,,https://alohacleanpoolandspa.com/,"Temecula, Murrieta, Menifee",Family-run business
Clean Sweep Pool Service,,https://www.cleansweeppoolservice.com/,"Temecula, Murrieta, Fallbrook, De Luz",
Atlantis Pool Service,(951) 756-4270,https://www.atlantispoolriverside.com/,Riverside,
Paul's Pool Magic,(951) 684-3826,https://www.paulspoolmagic.com/,Riverside area,25+ years experience
Matt's Pool Service,(951) 788-5648,https://www.mattspool.com/,"Riverside, Corona, La Sierra, Eastvale",Since 1990
Riverside Pool Service & Maintenance,(951) 410-8774,https://www.riversidepsm.com/,Riverside,
Complete Pool Service,(951) 840-9373,https://www.cpoolsriverside.com/,Riverside County,
Total Pool Service Riverside,(909) 283-3800,http://poolserviceinriverside.com/,Riverside,Service starting at $69/month
Dolphin Pool & Spa Center,(951) 471-5305,https://www.yelp.com/biz/dolphin-pool-and-spa-center-lake-elsinore-5,Lake Elsinore,Also (714) 777-0808
Think Clear Pool & Spa,(951) 213-0087,https://www.thinkclearpoolandspaservices.com/,Lake Elsinore,Family-owned
Clarity Pools,(951) 904-2541,https://www.poolcleanerslakeelsinore.com/,Lake Elsinore,
Breakpoint Commercial Pools,(951) 653-3333,https://www.breakpointpools.com/,"Perris, Lake Elsinore, Wildomar, Riverside",HOA and commercial - 30+ years
Wetworks Pool Care,,https://www.wetworkspoolcare.com/,"Canyon Lake, Menifee, Murrieta, Lake Elsinore, Hemet, San Jacinto",40+ years experience - IPSSA member
Pool Rehab,,https://poolrehab.com/,"Lake Elsinore, Perris, San Jacinto, Wildomar",
Always Reliable Pools,,https://www.alwaysreliablepool.com/,,
Pool Masters,,https://poolmasterstoday.com/,"Corona, Riverside",
